case_id,edema_center,edema_radius,sigma_fat_curve,sigma_muscle_curve,sigma_edema_curve,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,fat_scale,muscle_scale,edema_scale,estimated_edema_elements,inner_clearance,outer_clearance
case_025_v2,"(-0.9021185636520386, 0.09514705091714859)",0.03661611418933845,"[0.021042756736278534, 0.02234790474176407, 0.022502752020955086, 0.02259400300681591, 0.02266036532819271, 0.02271290495991707]","[0.35257092118263245, 0.363939493894577, 0.3743150234222412, 0.38548704981803894, 0.3973107933998108, 0.4092586636543274]","[0.04366222769021988, 0.04637031629681587, 0.046691615134477615, 0.04688095301389694, 0.04701865091919899, 0.04712766408920288]",0.021042756736278534,0.35257092118263245,0.04366222769021988,0.022619470953941345,0.9217151482270888,1.0344480186079623,0.9562467567678017,12,0.07040889597770239,0.05641282533463243
case_026_v2,"(-0.9048343896865845, 0.014134331606328487)",0.039757083392340735,"[0.021598156541585922, 0.022937752306461334, 0.023096688091754913, 0.023190347477793694, 0.02325846068561077, 0.023312386125326157]","[0.30929726362228394, 0.3192704916000366, 0.3283725380897522, 0.33817335963249207, 0.3485458791255951, 0.35902729630470276]","[0.04616091027855873, 0.04902397841215134, 0.04936366528272629, 0.04956384003162384, 0.049709416925907135, 0.04982466995716095]",0.021598156541585922,0.30929726362228394,0.04616091027855873,0.02456275373697281,0.9460427981789762,0.9074825112352359,1.0109704938782966,14,0.06504776264236656,0.05549664812581445
case_027_v2,"(-0.8787761330604553, -0.16096770763397217)",0.03746911726373028,"[0.021875331178307533, 0.023232119157910347, 0.023393092676997185, 0.023487955331802368, 0.023556942120194435, 0.023611560463905334]","[0.3418563902378082, 0.35287949442863464, 0.3629396855831146, 0.3737722337245941, 0.3852366507053375, 0.39682143926620483]","[0.04343147575855255, 0.046125251799821854, 0.0464448519051075, 0.04663319140672684, 0.046770159155130386, 0.046878598630428314]",0.021875331178307533,0.3418563902378082,0.04343147575855255,0.021556144580245018,0.9581835676280238,1.003011425846343,0.9511930181135206,12,0.05567891257436686,0.06943805939246128
case_028_v2,"(-0.8636607527732849, -0.2514464855194092)",0.04278287540579674,"[0.022533653303980827, 0.023931272327899933, 0.02409709058701992, 0.024194806814193726, 0.024265872314572334, 0.024322131648659706]","[0.3743932545185089, 0.38646548986434937, 0.3974831998348236, 0.40934672951698303, 0.42190229892730713, 0.4345897138118744]","[0.04923679307103157, 0.05229064077138901, 0.052652958780527115, 0.05286647379398346, 0.05302175134420395, 0.053144682198762894]",0.022533653303980827,0.3743932545185089,0.04923679307103157,0.026703139767050743,0.9870194120006076,1.0984751128111676,1.0783354532509828,14,0.05642082295508988,0.058076461947505265
case_029_v2,"(-0.8577739000320435, -0.2907264232635498)",0.03893690773884297,"[0.024072008207440376, 0.025565041229128838, 0.02574218064546585, 0.0258465688675642, 0.025922484695911407, 0.025982584804296494]","[0.35184982419013977, 0.36319515109062195, 0.3735494315624237, 0.38469862937927246, 0.3964981734752655, 0.4084216356277466]","[0.044506244361400604, 0.047266680747270584, 0.04759418964385986, 0.04778718948364258, 0.047927550971508026, 0.04803866893053055]",0.024072008207440376,0.35184982419013977,0.044506244361400604,0.020434236153960228,1.0544024864221977,1.0323322526335523,0.9747315457747421,14,0.06641371326960566,0.05576984036977528
case_030_v2,"(-0.8082267642021179, -0.40030795335769653)",0.03768902462236609,"[0.021647270768880844, 0.022989913821220398, 0.02314920909702778, 0.02324308268725872, 0.023311350494623184, 0.02336539886891842]","[0.31511491537094116, 0.3252757489681244, 0.3345489799976349, 0.34453415870666504, 0.3551017642021179, 0.3657803535461426]","[0.04868372157216072, 0.05170326307415962, 0.05206151306629181, 0.052272628992795944, 0.052426159381866455, 0.05254771187901497]",0.021647270768880844,0.31511491537094116,0.04868372157216072,0.027036450803279877,0.948194115001137,0.9245515864822972,1.0662225344249814,10,0.06379742968897839,0.06088005156912757
case_031_v2,"(-0.7078539133071899, -0.5539163947105408)",0.04251111779303514,"[0.02454025112092495, 0.02606232650578022, 0.02624291181564331, 0.026349328458309174, 0.02642672136425972, 0.026487991213798523]","[0.3201371729373932, 0.33045992255210876, 0.33988097310066223, 0.3500252664089203, 0.3607613146305084, 0.3716101050376892]","[0.0439278781414032, 0.04665244370698929, 0.046975694596767426, 0.047166187316179276, 0.04730472341179848, 0.047414399683475494]",0.02454025112092495,0.3201371729373932,0.0439278781414032,0.01938762702047825,1.074912408167493,0.9392869331429147,0.962064734580019,14,0.055725300932158106,0.05931509879194241
case_032_v2,"(-0.6422134637832642, -0.6316739320755005)",0.03682748756942797,"[0.020610634237527847, 0.021888980641961098, 0.022040648385882378, 0.022130025550723076, 0.02219502441585064, 0.022246483713388443]","[0.3224017322063446, 0.33279749751091003, 0.3422851860523224, 0.35250124335289, 0.3633132576942444, 0.3742387592792511]","[0.04229779914021492, 0.04492126405239105, 0.04523251950740814, 0.04541594162583351, 0.045549336820840836, 0.04565494507551193]",0.020610634237527847,0.3224017322063446,0.04229779914021492,0.021687164902687073,0.9027872575416404,0.9459312059997711,0.9263644435573042,11,0.0633034493523521,0.06309583663450402
case_033_v2,"(-0.5429928302764893, -0.7111316323280334)",0.0369658662733597,"[0.023717001080513, 0.025188015773892403, 0.025362543761730194, 0.02546539157629013, 0.0255401860922575, 0.0255994014441967]","[0.34635940194129944, 0.3575276732444763, 0.3677203953266144, 0.37869560718536377, 0.39031103253364563, 0.4020484387874603]","[0.04291835054755211, 0.04558030143380165, 0.045896127820014954, 0.04608223959803581, 0.04621759057044983, 0.046324748545885086]",0.023717001080513,0.34635940194129944,0.04291835054755211,0.01920134946703911,1.0388524871285774,1.0162233218441805,0.9399551303320115,12,0.056995249467696185,0.06912748299662086
case_034_v2,"(-0.4832451343536377, -0.7603832483291626)",0.04494296319145374,"[0.024782251566648483, 0.026319336146116257, 0.026501702144742012, 0.02660916931927204, 0.026687324047088623, 0.026749199256300926]","[0.3338482975959778, 0.3446131646633148, 0.3544377088546753, 0.36501649022102356, 0.37621235847473145, 0.3875257670879364]","[0.04384226351976395, 0.04656152054667473, 0.046884145587682724, 0.04707426577806473, 0.04721252992749214, 0.04732199385762215]",0.024782251566648483,0.3338482975959778,0.04384226351976395,0.019060011953115463,1.0855125102013017,0.9795156387649882,0.960189738356188,15,0.05517229120496292,0.055008000770658705
case_035_v2,"(-0.3771597146987915, -0.8177621364593506)",0.04450962667521628,"[0.021854912862181664, 0.023210434243083, 0.0233712587505579, 0.02346603199839592, 0.023534955456852913, 0.023589521646499634]","[0.3697874844074249, 0.3817112147808075, 0.3925933539867401, 0.4043109714984894, 0.41671207547187805, 0.42924338579177856]","[0.04132101684808731, 0.04388389736413956, 0.044187966734170914, 0.04436715319752693, 0.04449746757745743, 0.04460063576698303]",0.021854912862181664,0.3697874844074249,0.04132101684808731,0.019466103985905647,0.957289245376411,1.0849616858624056,0.9049718982772513,16,0.055110803263626496,0.055935523272265364
case_036_v2,"(-0.2679852247238159, -0.8620736002922058)",0.04201072402332938,"[0.021187791600823402, 0.022501934319734573, 0.0226578488945961, 0.022749729454517365, 0.022816549986600876, 0.022869449108839035]","[0.33531635999679565, 0.34612855315208435, 0.355996310710907, 0.36662158370018005, 0.3778666853904724, 0.38922983407974243]","[0.04991762712597847, 0.05301370099186897, 0.05338102951645851, 0.05359749495983124, 0.05375492200255394, 0.05387955158948898]",0.021187791600823402,0.33531635999679565,0.04991762712597847,0.028729835525155067,0.9280679194127825,0.9838228638632608,1.0932463824286365,14,0.05974032436922727,0.056300125620823205
case_037_v2,"(-0.1352304220199585, -0.8913381099700928)",0.03848961112949651,"[0.020628442987799644, 0.02190789394080639, 0.022059693932533264, 0.02214914746582508, 0.02221420407295227, 0.022265708073973656]","[0.3141869008541107, 0.3243178129196167, 0.33356374502182007, 0.34351950883865356, 0.3540560007095337, 0.36470311880111694]","[0.04866834357380867, 0.051686931401491165, 0.0520450696349144, 0.05225611850619316, 0.05240960419178009, 0.05253111571073532]",0.020628442987799644,0.3141869008541107,0.04866834357380867,0.028039900586009026,0.9035673567953976,0.921828799353147,1.0658857229765473,13,0.06194113285482883,0.06113635496242675
case_038_v2,"(-0.06588779389858246, -0.8981088399887085)",0.04061276065110774,"[0.023314068093895912, 0.024760091677308083, 0.02493165247142315, 0.025032753124833107, 0.02510627917945385, 0.025164488703012466]","[0.3658972978591919, 0.37769559025764465, 0.3884632885456085, 0.4000576138496399, 0.41232824325561523, 0.42472773790359497]","[0.04660157486796379, 0.04949197173118591, 0.049834899604320526, 0.05003698542714119, 0.05018395557999611, 0.05030030757188797]",0.023314068093895912,0.3658972978591919,0.04660157486796379,0.02328750677406788,1.0212031641400023,1.0735477907552022,1.0206214314677453,14,0.05876237735310297,0.06007193964092816
case_039_v2,"(0.028634540736675262, -0.9039667844772339)",0.03854993544496372,"[0.023523718118667603, 0.024982742965221405, 0.025155847892165184, 0.025257857516407967, 0.025332044810056686, 0.025390777736902237]","[0.3658803701400757, 0.3776780962944031, 0.38844528794288635, 0.40003907680511475, 0.4123091399669647, 0.4247080683708191]","[0.04523898661136627, 0.048044875264167786, 0.04837777465581894, 0.04857395216822624, 0.048716623336076736, 0.0488295704126358]",0.023523718118667603,0.3658803701400757,0.04523898661136627,0.02171526849269867,1.0303862051159949,1.073498126350465,0.99077937641526,9,0.0646660533663358,0.05829087470102168
case_040_v2,"(0.18075647950172424, -0.8881862163543701)",0.03719259866289048,"[0.02427545189857483, 0.02578110434114933, 0.025959739461541176, 0.026065010577440262, 0.026141567155718803, 0.02620217762887478]","[0.3139233887195587, 0.3240457773208618, 0.3332839608192444, 0.3432313799858093, 0.3537590205669403, 0.36439722776412964]","[0.04170181602239609, 0.04428831487894058, 0.04459518566727638, 0.04477602615952492, 0.04490754008293152, 0.04501165822148323]",0.02427545189857483,0.3139233887195587,0.04170181602239609,0.01742636412382126,1.0633137526847822,0.921055615970825,0.9133117713910357,10,0.06792215944170099,0.057747442308012875
case_041_v2,"(0.2414986491203308, -0.8642264604568481)",0.039270801235069035,"[0.02196398936212063, 0.023326275870203972, 0.02348790131509304, 0.023583147674798965, 0.023652415722608566, 0.023707253858447075]","[0.31655415892601013, 0.326761394739151, 0.3360770046710968, 0.34610775113105774, 0.3567236363887787, 0.367451012134552]","[0.04950430244207382, 0.05257473886013031, 0.052939027547836304, 0.05315370112657547, 0.05330982059240341, 0.05343342199921608]",0.02196398936212063,0.31655415892601013,0.04950430244207382,0.027540313079953194,0.962066934784815,0.9287743865942286,1.0841940944974902,13,0.05676905158362833,0.06474720701749481
case_042_v2,"(0.35099586844444275, -0.8320407867431641)",0.035800728989407636,"[0.021074328571558, 0.022381434217095375, 0.022536514326930046, 0.022627903148531914, 0.022694364190101624, 0.02274698205292225]","[0.3081885576248169, 0.31812605261802673, 0.3271954655647278, 0.33696115016937256, 0.34729647636413574, 0.3577403426170349]","[0.04159987345337868, 0.044180046766996384, 0.04448616877198219, 0.04466656595468521, 0.044797759503126144, 0.04490162432193756]",0.021074328571558,0.3081885576248169,0.04159987345337868,0.02052554488182068,0.923098012733071,0.9042296032672881,0.911079081832852,10,0.06590736618056159,0.06254392415402932
case_043_v2,"(0.4803163409233093, -0.7556887269020081)",0.03565212593019188,"[0.02365514449775219, 0.025122322142124176, 0.025296393781900406, 0.025398973375558853, 0.025473574176430702, 0.025532634928822517]","[0.3335792124271393, 0.3443354070186615, 0.35415202379226685, 0.36472228169441223, 0.37590911984443665, 0.38721340894699097]","[0.04399789497256279, 0.04672680422663689, 0.04705056920647621, 0.047241367399692535, 0.047380123287439346, 0.04748997464776039]",0.02365514449775219,0.3335792124271393,0.04399789497256279,0.0203427504748106,1.0361429053599014,0.9787260913664056,0.9635982193904099,10,0.05840278254951792,0.07034549495375231
case_044_v2,"(0.5657810568809509, -0.6987015604972839)",0.035738811798913916,"[0.02162797749042511, 0.022969422861933708, 0.023128576576709747, 0.023222366347908974, 0.023290572687983513, 0.023344572633504868]","[0.3237467408180237, 0.3341858983039856, 0.3437131643295288, 0.35397183895111084, 0.3648289442062378, 0.3758000433444977]","[0.04631049931049347, 0.049182843416929245, 0.04952362924814224, 0.049724455922842026, 0.04987050220370293, 0.04998612776398659]",0.02162797749042511,0.3237467408180237,0.04631049931049347,0.02468252182006836,0.9473489742208793,0.9498775151664424,1.0142465303485546,11,0.06193989513333531,0.06663513835428592
case_045_v2,"(0.6253576278686523, -0.6573219299316406)",0.036486697123698134,"[0.022938456386327744, 0.024361183866858482, 0.02452998049557209, 0.02462945319712162, 0.024701792746782303, 0.024759065359830856]","[0.313677579164505, 0.323792040348053, 0.33302298188209534, 0.3429626226425171, 0.35348203778266907, 0.36411190032958984]","[0.048705145716667175, 0.05172601714730263, 0.05208442360162735, 0.05229563266038895, 0.05244923382997513, 0.05257083475589752]",0.022938456386327744,0.313677579164505,0.048705145716667175,0.025766689330339432,1.0047505897435276,0.9203343805807432,1.066691710757712,12,0.06940856787758587,0.05767179688466284
case_046_v2,"(0.7474637031555176, -0.5041602849960327)",0.04463724913993322,"[0.024668514728546143, 0.02619854547083378, 0.02638007514178753, 0.026487048715353012, 0.02656484581530094, 0.026626436039805412]","[0.3735204041004181, 0.38556450605392456, 0.3965565264225006, 0.40839239954948425, 0.42091870307922363, 0.4335764944553375]","[0.04841809719800949, 0.051421165466308594, 0.05177745968103409, 0.051987424492836, 0.052140120416879654, 0.05226100608706474]",0.024668514728546143,0.3735204041004181,0.04841809719800949,0.02374958246946335,1.0805306287855234,1.0959141361173186,1.0604051760547188,15,0.055616396167918025,0.055174873475765884
case_047_v2,"(0.8078027367591858, -0.39824527502059937)",0.04194199048390274,"[0.021161366254091263, 0.02247387170791626, 0.022629590705037117, 0.02272135578095913, 0.022788092494010925, 0.02284092828631401]","[0.3432886004447937, 0.35435786843299866, 0.3644602298736572, 0.3753381371498108, 0.38685059547424316, 0.39848390221595764]","[0.04578988254070282, 0.048629939556121826, 0.048966892063617706, 0.04916545748710632, 0.0493098646402359, 0.0494241900742054]",0.021161366254091263,0.3432886004447937,0.04578988254070282,0.024628516286611557,0.9269104416826295,1.0072136071895275,1.002844574038083,13,0.0573790119725871,0.05879880382524261
case_048_v2,"(0.8351022601127625, -0.3336853086948395)",0.04125334052892328,"[0.02346724458038807, 0.024922769516706467, 0.025095457211136818, 0.02519722282886505, 0.025271231308579445, 0.025329822674393654]","[0.3249107301235199, 0.3353874087333679, 0.344948947429657, 0.355244517326355, 0.3661406338214874, 0.3771511912345886]","[0.04237036406993866, 0.044998329132795334, 0.0453101210296154, 0.04549385607242584, 0.04562747851014137, 0.045733269304037094]",0.02346724458038807,0.3249107301235199,0.04237036406993866,0.01890311948955059,1.0279126542474222,0.9532926635001693,0.9279536821907914,14,0.05675685683431786,0.060797244225873404
case_049_v2,"(0.8741964101791382, -0.2390442043542862)",0.03945314711856928,"[0.02222505770623684, 0.023603538051247597, 0.02376708574593067, 0.02386346273124218, 0.02393355406820774, 0.02398904412984848]","[0.3317224979400635, 0.3424188196659088, 0.3521808087825775, 0.3626922070980072, 0.3738167881965637, 0.3850581645965576]","[0.044084690511226654, 0.04681898280978203, 0.04714338853955269, 0.04733455926179886, 0.047473590821027756, 0.04758365824818611]",0.02222505770623684,0.3317224979400635,0.044084690511226654,0.021859632804989815,0.9735023620230256,0.9732784899652496,0.9654991128825091,13,0.06558150751169456,0.055570327988404555
case_050_v2,"(0.894692063331604, -0.10947269201278687)",0.044788810108401536,"[0.024731045588850975, 0.02626495435833931, 0.02644694223999977, 0.026554187759757042, 0.02663218230009079, 0.026693928986787796]","[0.33952873945236206, 0.35047677159309387, 0.36046847701072693, 0.3712272644042969, 0.3826135993003845, 0.394119530916214]","[0.04409259557723999, 0.04682737961411476, 0.0471518449485302, 0.04734304919838905, 0.04748210310935974, 0.04759219288825989]",0.024731045588850975,0.33952873945236206,0.04409259557723999,0.019361549988389015,1.0832696039076357,0.9961820856600158,0.9656722410009378,15,0.055392841653185365,0.05509552936145801
